ticker_event,earnings_date,window_start,window_end,event_id,timestamp,open,high,low,close,volume,momentum,volatility,avg_volume_event,pre_close,window_return,split
AAPL,2024-04-30,2024-04-25,2024-05-05,0,2024-04-25 08:00:00+00:00,168.83,169.14,168.62,168.85,38844.0,0.00011553938299324606,0.0005196706264578969,609035.6666666666,173.52,0.08842167604382592,train
AAPL,2024-04-30,2024-04-25,2024-05-05,0,2024-04-25 09:00:00+00:00,168.82,169.15,168.82,169.13,6809.0,0.00011553938299324606,0.0005196706264578969,609035.6666666666,173.52,0.08842167604382592,train
AAPL,2024-04-30,2024-04-25,2024-05-05,0,2024-04-25 10:00:00+00:00,169.0,169.09,168.81,168.81,6282.0,0.00011553938299324606,0.0005196706264578969,609035.6666666666,173.52,0.08842167604382592,train
AAPL,2024-04-30,2024-04-25,2024-05-05,0,2024-04-25 11:00:00+00:00,168.74,169.31,168.63,169.15,36038.0,0.00011553938299324606,0.0005196706264578969,609035.6666666666,173.52,0.08842167604382592,train
AAPL,2024-04-30,2024-04-25,2024-05-05,0,2024-04-25 12:00:00+00:00,168.7966,169.96,168.14,168.34,281856.0,0.00011553938299324606,0.0005196706264578969,609035.6666666666,173.52,0.08842167604382592,train
AAPL,2024-04-30,2024-04-25,2024-05-05,0,2024-04-25 13:00:00+00:00,168.35,170.61,167.89,169.01,8646760.0,0.00011553938299324606,0.0005196706264578969,609035.6666666666,173.52,0.08842167604382592,train
AAPL,2024-04-30,2024-04-25,2024-05-05,0,2024-04-25 14:00:00+00:00,169.02,169.49,168.47,168.575,6688395.0,0.00011553938299324606,0.0005196706264578969,609035.6666666666,173.52,0.08842167604382592,train
AAPL,2024-04-30,2024-04-25,2024-05-05,0,2024-04-25 15:00:00+00:00,168.57,168.87,168.1511,168.55,4532644.0,0.00011553938299324606,0.0005196706264578969,609035.6666666666,173.52,0.08842167604382592,train
AAPL,2024-04-30,2024-04-25,2024-05-05,0,2024-04-25 16:00:00+00:00,168.54,169.5383,168.5,169.3599,4000417.0,0.00011553938299324606,0.0005196706264578969,609035.6666666666,173.52,0.08842167604382592,train
AAPL,2024-04-30,2024-04-25,2024-05-05,0,2024-04-25 17:00:00+00:00,169.36,169.61,168.86,169.5501,3659769.0,0.00011553938299324606,0.0005196706264578969,609035.6666666666,173.52,0.08842167604382592,train
AAPL,2024-04-30,2024-04-25,2024-05-05,0,2024-04-25 18:00:00+00:00,169.56,169.7499,168.9601,169.565,4091547.0,0.00011553938299324606,0.0005196706264578969,609035.6666666666,173.52,0.08842167604382592,train
AAPL,2024-04-30,2024-04-25,2024-05-05,0,2024-04-25 19:00:00+00:00,169.56,170.04,169.41,169.9,9687310.0,0.00011553938299324606,0.0005196706264578969,609035.6666666666,173.52,0.08842167604382592,train
AAPL,2024-04-30,2024-04-25,2024-05-05,0,2024-04-25 20:00:00+00:00,169.89,170.84,169.75,170.04,8345753.0,0.00011553938299324606,0.0005196706264578969,609035.6666666666,173.52,0.08842167604382592,train
AAPL,2024-04-30,2024-04-25,2024-05-05,0,2024-04-25 21:00:00+00:00,170.01,170.46,170.0,170.14,324494.0,0.00011553938299324606,0.0005196706264578969,609035.6666666666,173.52,0.08842167604382592,train
AAPL,2024-04-30,2024-04-25,2024-05-05,0,2024-04-25 22:00:00+00:00,170.14,170.29,169.89,170.0114,102389.0,0.00011553938299324606,0.0005196706264578969,609035.6666666666,173.52,0.08842167604382592,train
AAPL,2024-04-30,2024-04-25,2024-05-05,0,2024-04-25 23:00:00+00:00,170.01,170.14,169.65,169.74,82538.0,0.00011553938299324606,0.0005196706264578969,609035.6666666666,173.52,0.08842167604382592,train
AAPL,2024-04-30,2024-04-25,2024-05-05,0,2024-04-26 08:00:00+00:00,169.99,170.19,169.99,170.11,17907.0,0.00011553938299324606,0.0005196706264578969,609035.6666666666,173.52,0.08842167604382592,train
AAPL,2024-04-30,2024-04-25,2024-05-05,0,2024-04-26 09:00:00+00:00,170.05,170.17,170.0,170.11,14893.0,0.00011553938299324606,0.0005196706264578969,609035.6666666666,173.52,0.08842167604382592,train
AAPL,2024-04-30,2024-04-25,2024-05-05,0,2024-04-26 10:00:00+00:00,170.15,170.21,169.89,169.99,21156.0,0.00011553938299324606,0.0005196706264578969,609035.6666666666,173.52,0.08842167604382592,train
AAPL,2024-04-30,2024-04-25,2024-05-05,0,2024-04-26 11:00:00+00:00,170.0,170.3,169.86,170.17,57009.0,0.00011553938299324606,0.0005196706264578969,609035.6666666666,173.52,0.08842167604382592,train
AAPL,2024-04-30,2024-04-25,2024-05-05,0,2024-04-26 12:00:00+00:00,169.99,170.98,169.8002,170.5802,222658.0,0.00011553938299324606,0.0005196706264578969,609035.6666666666,173.52,0.08842167604382592,train
AAPL,2024-04-30,2024-04-25,2024-05-05,0,2024-04-26 13:00:00+00:00,170.67,170.85,169.54,170.1,5497739.0,0.00011553938299324606,0.0005196706264578969,609035.6666666666,173.52,0.08842167604382592,train
AAPL,2024-04-30,2024-04-25,2024-05-05,0,2024-04-26 14:00:00+00:00,170.11,171.18,170.03,171.09,6164900.0,0.00011553938299324606,0.0005196706264578969,609035.6666666666,173.52,0.08842167604382592,train
AAPL,2024-04-30,2024-04-25,2024-05-05,0,2024-04-26 15:00:00+00:00,171.09,171.34,170.3832,170.52,4551049.0,0.00011553938299324606,0.0005196706264578969,609035.6666666666,173.52,0.08842167604382592,train
AAPL,2024-04-30,2024-04-25,2024-05-05,0,2024-04-26 16:00:00+00:00,170.52,170.53,169.93,170.0173,4330038.0,0.00011553938299324606,0.0005196706264578969,609035.6666666666,173.52,0.08842167604382592,train
AAPL,2024-04-30,2024-04-25,2024-05-05,0,2024-04-26 17:00:00+00:00,170.0162,170.1684,169.37,169.475,4232219.0,0.00011553938299324606,0.0005196706264578969,609035.6666666666,173.52,0.08842167604382592,train
AAPL,2024-04-30,2024-04-25,2024-05-05,0,2024-04-26 18:00:00+00:00,169.48,170.02,169.37,170.015,4227797.0,0.00011553938299324606,0.0005196706264578969,609035.6666666666,173.52,0.08842167604382592,train
AAPL,2024-04-30,2024-04-25,2024-05-05,0,2024-04-26 19:00:00+00:00,170.01,170.11,169.18,169.29,7755525.0,0.00011553938299324606,0.0005196706264578969,609035.6666666666,173.52,0.08842167604382592,train
AAPL,2024-04-30,2024-04-25,2024-05-05,0,2024-04-26 20:00:00+00:00,169.3,169.55,169.14,169.39,7564258.0,0.00011553938299324606,0.0005196706264578969,609035.6666666666,173.52,0.08842167604382592,train
AAPL,2024-04-30,2024-04-25,2024-05-05,0,2024-04-26 21:00:00+00:00,169.43,169.49,169.33,169.43,25274.0,0.00011553938299324606,0.0005196706264578969,609035.6666666666,173.52,0.08842167604382592,train
AAPL,2024-04-30,2024-04-25,2024-05-05,0,2024-04-26 22:00:00+00:00,169.4219,170.0,169.3935,169.82,80674.0,0.00011553938299324606,0.0005196706264578969,609035.6666666666,173.52,0.08842167604382592,train
AAPL,2024-04-30,2024-04-25,2024-05-05,0,2024-04-26 23:00:00+00:00,169.82,169.85,169.59,169.6,26359.0,0.00011553938299324606,0.0005196706264578969,609035.6666666666,173.52,0.08842167604382592,train
AAPL,2024-04-30,2024-04-25,2024-05-05,0,2024-04-29 08:00:00+00:00,170.49,172.22,170.49,172.13,122052.0,0.00011553938299324606,0.0005196706264578969,609035.6666666666,173.52,0.08842167604382592,train
AAPL,2024-04-30,2024-04-25,2024-05-05,0,2024-04-29 09:00:00+00:00,172.0,172.32,171.87,172.2,79833.0,0.00011553938299324606,0.0005196706264578969,609035.6666666666,173.52,0.08842167604382592,train
AAPL,2024-04-30,2024-04-25,2024-05-05,0,2024-04-29 10:00:00+00:00,172.2,173.0,172.18,172.7,110784.0,0.00011553938299324606,0.0005196706264578969,609035.6666666666,173.52,0.08842167604382592,train
AAPL,2024-04-30,2024-04-25,2024-05-05,0,2024-04-29 11:00:00+00:00,172.7,173.68,172.16,173.65,303634.0,0.00011553938299324606,0.0005196706264578969,609035.6666666666,173.52,0.08842167604382592,train
AAPL,2024-04-30,2024-04-25,2024-05-05,0,2024-04-29 12:00:00+00:00,173.65,173.75,170.25,173.47,472003.0,0.00011553938299324606,0.0005196706264578969,609035.6666666666,173.52,0.08842167604382592,train
AAPL,2024-04-30,2024-04-25,2024-05-05,0,2024-04-29 13:00:00+00:00,173.55,176.03,172.79,175.19,15427954.0,0.00011553938299324606,0.0005196706264578969,609035.6666666666,173.52,0.08842167604382592,train
AAPL,2024-04-30,2024-04-25,2024-05-05,0,2024-04-29 14:00:00+00:00,175.2,175.99,174.38,174.8625,9829906.0,0.00011553938299324606,0.0005196706264578969,609035.6666666666,173.52,0.08842167604382592,train
AAPL,2024-04-30,2024-04-25,2024-05-05,0,2024-04-29 15:00:00+00:00,174.87,175.13,173.98,174.6701,7437134.0,0.00011553938299324606,0.0005196706264578969,609035.6666666666,173.52,0.08842167604382592,train
AAPL,2024-04-30,2024-04-25,2024-05-05,0,2024-04-29 16:00:00+00:00,174.68,174.825,174.22,174.55,4391082.0,0.00011553938299324606,0.0005196706264578969,609035.6666666666,173.52,0.08842167604382592,train
AAPL,2024-04-30,2024-04-25,2024-05-05,0,2024-04-29 17:00:00+00:00,174.555,175.105,174.39,174.81,4612996.0,0.00011553938299324606,0.0005196706264578969,609035.6666666666,173.52,0.08842167604382592,train
AAPL,2024-04-30,2024-04-25,2024-05-05,0,2024-04-29 18:00:00+00:00,174.805,174.8064,173.945,174.62,4871646.0,0.00011553938299324606,0.0005196706264578969,609035.6666666666,173.52,0.08842167604382592,train
AAPL,2024-04-30,2024-04-25,2024-05-05,0,2024-04-29 19:00:00+00:00,174.62,174.62,173.1,173.53,9228470.0,0.00011553938299324606,0.0005196706264578969,609035.6666666666,173.52,0.08842167604382592,train
AAPL,2024-04-30,2024-04-25,2024-05-05,0,2024-04-29 20:00:00+00:00,173.5,173.75,173.49,173.5,9425688.0,0.00011553938299324606,0.0005196706264578969,609035.6666666666,173.52,0.08842167604382592,train
